Source,Name,Min salary,Max salary,Currency,Link
SuperJob.ru,Администратор баз данных PostgreSQL / Oracle,,,,https://www.superjob.ru/vakansii/administrator-baz-dannyh-postgresql-34646644.html
SuperJob.ru,Специалист-разработчик ПО (Oracle),70000.0,,руб.,https://www.superjob.ru/vakansii/specialist-razrabotchik-po-34279924.html
SuperJob.ru,Программист Oracle,,,,https://www.superjob.ru/vakansii/programmist-oracle-28979754.html
SuperJob.ru,Ведущий специалист-разработчик ПО (Oracle),100000.0,,руб.,https://www.superjob.ru/vakansii/veduschij-specialist-razrabotchik-po-34279958.html
SuperJob.ru,Аналитик РБС,,,,https://www.superjob.ru/vakansii/analitik-rbs-34717258.html
SuperJob.ru,Ведущий инженер в отдел IT,50000.0,,руб.,https://www.superjob.ru/vakansii/veduschij-inzhener-v-otdel-it-34632640.html
SuperJob.ru,Аналитик (Siebel CRM),,,,https://www.superjob.ru/vakansii/analitik-34707832.html
SuperJob.ru,Тестировщик,,,,https://www.superjob.ru/vakansii/testirovschik-34578851.html
SuperJob.ru,Data Engineer (BI инженер),,,,https://www.superjob.ru/vakansii/data-engineer-34726527.html
SuperJob.ru,Технический специалист,,,,https://www.superjob.ru/vakansii/tehnicheskij-specialist-34607139.html
SuperJob.ru,Аналитик ETL,,,,https://www.superjob.ru/vakansii/analitik-etl-34726132.html
SuperJob.ru,Администратор баз данных (DBA) PostgreSQL,,,,https://www.superjob.ru/vakansii/administrator-baz-dannyh-34627834.html
SuperJob.ru,Ведущий программист Python,,,,https://www.superjob.ru/vakansii/veduschij-programmist-python-34760708.html
SuperJob.ru,Системный администратор,80000.0,100000.0,руб.,https://www.superjob.ru/vakansii/sistemnyj-administrator-32123213.html
SuperJob.ru,Разработчик Java,,,,https://www.superjob.ru/vakansii/razrabotchik-java-34590555.html
SuperJob.ru,Ведущий специалист автоматизированного тестирования,120000.0,,руб.,https://www.superjob.ru/vakansii/veduschij-specialist-avtomatizirovannogo-testirovaniya-34767180.html
SuperJob.ru,Государственный гражданский служащий,40000.0,,руб.,https://www.superjob.ru/vakansii/gosudarstvennyj-grazhdanskij-sluzhaschij-33392366.html
SuperJob.ru,Руководитель направления поддержки ДБО для ЮЛ (срочный трудовой договор),,,,https://www.superjob.ru/vakansii/rukovoditel-napravleniya-podderzhki-dbo-dlya-yul-34717203.html
SuperJob.ru,Специалист поддержки РБС,,,,https://www.superjob.ru/vakansii/specialist-podderzhki-rbs-34717201.html
SuperJob.ru,Ведущий специалист направления промышленных платформ,,,,https://www.superjob.ru/vakansii/veduschij-specialist-napravleniya-promyshlennyh-platform-34717122.html
SuperJob.ru,Разработчик DWH / ETL Informatica,,,,https://www.superjob.ru/vakansii/razrabotchik-dwh-34707620.html
